"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","567.70","563.41","568.25","559.03","1.51M","0.67%"
"12/30/2021","563.91","569.53","569.88","562.37","1.34M","-0.68%"
"12/29/2021","567.77","566.40","571.49","563.50","1.75M","0.55%"
"12/28/2021","564.64","563.43","566.64","560.70","1.16M","0.21%"
"12/27/2021","563.47","551.54","565.74","551.44","2.26M","2.38%"
"12/23/2021","550.37","551.74","552.61","547.49","1.76M","0.13%"
"12/22/2021","549.67","545.38","550.00","539.80","1.45M","0.78%"
"12/21/2021","545.43","550.50","551.78","536.08","2.47M","-0.57%"
"12/20/2021","548.56","542.13","549.14","538.03","2.03M","0.17%"
"12/17/2021","547.61","549.32","556.47","540.98","5.76M","-0.91%"
"12/16/2021","552.63","564.79","566.55","549.45","2.68M","-2.27%"
"12/15/2021","565.48","546.21","566.49","545.53","2.94M","3.69%"
"12/14/2021","545.34","556.46","557.17","537.57","3.49M","-2.13%"
"12/13/2021","557.22","550.44","559.74","547.98","3.42M","-0.29%"
"12/10/2021","558.82","534.71","561.27","534.61","6.33M","6.58%"
"12/09/2021","524.33","528.80","532.33","523.80","3.20M","-1.09%"
"12/08/2021","530.11","546.21","547.79","525.55","3.04M","-2.20%"
"12/07/2021","542.02","538.25","543.00","534.71","2.58M","1.65%"
"12/06/2021","533.20","532.25","536.05","527.57","2.43M","0.81%"
"12/03/2021","528.93","529.99","537.50","524.77","2.98M","0.65%"
"12/02/2021","525.51","518.51","530.91","514.04","3.28M","-0.82%"
"12/01/2021","529.84","543.10","548.25","529.40","2.88M","-1.77%"
"11/30/2021","539.38","551.00","557.17","535.89","4.24M","-2.79%"
"11/29/2021","554.88","546.13","560.78","542.41","2.92M","1.60%"
"11/26/2021","546.13","549.55","554.55","544.31","1.84M","-0.65%"
"11/24/2021","549.73","545.54","550.83","543.32","2.32M","0.82%"
"11/23/2021","545.26","537.96","545.82","533.77","2.15M","1.04%"
"11/22/2021","539.65","533.32","545.42","532.32","2.19M","1.10%"
"11/19/2021","533.79","534.08","535.28","528.01","1.91M","0.83%"
"11/18/2021","529.37","528.16","530.80","522.49","1.66M","0.59%"
"11/17/2021","526.29","527.50","530.74","524.51","1.61M","-0.08%"
"11/16/2021","526.72","519.84","528.30","517.41","1.69M","1.31%"
"11/15/2021","519.89","518.49","523.10","518.01","1.39M","0.53%"
"11/12/2021","517.17","514.25","519.66","513.23","1.78M","0.97%"
"11/11/2021","512.18","506.20","512.50","504.04","1.23M","1.32%"
"11/10/2021","505.51","508.26","510.36","503.77","1.23M","-0.63%"
"11/09/2021","508.71","505.12","509.10","504.06","1.88M","0.97%"
"11/08/2021","503.81","513.41","513.41","500.20","2.83M","-1.81%"
"11/05/2021","513.12","514.77","517.90","508.63","2.07M","-0.48%"
"11/04/2021","515.62","507.01","520.21","506.01","2.62M","2.65%"
"11/03/2021","502.33","501.34","502.96","495.75","1.86M","1.07%"
"11/02/2021","496.99","494.74","499.49","492.72","2.01M","1.04%"
"11/01/2021","491.87","494.15","494.89","487.20","1.55M","0.07%"
"10/29/2021","491.54","486.78","494.17","486.66","2.47M","0.21%"
"10/28/2021","490.53","486.96","491.83","486.48","1.36M","0.29%"
